,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
23,0.681,0.681,0.764,0.764,0.722,0.722,0.917,0.917,0.778,0.778,0.736,0.736,0.667,0.667,0.75,0.75,0.917,0.917,0.681,0.681,0.958,0.958,1.0,0.0,0.722,0.722,0.639,0.639,0.639,0.639,0.583,0.639,0.681,0.458,0.722,0.569,0.556,0.681,0.514,0.681,0.639,0.514,0.875,0.722,0.764,0.458,0.694,0.458,0.458,0.25,0.417,0.417,0.25,0.292,0.292
24,0.764,0.764,0.792,0.792,0.917,0.917,0.722,0.722,0.833,0.833,0.653,0.653,0.944,0.944,0.667,0.667,0.722,0.722,0.958,0.958,0.764,0.764,0.722,0.722,0.0,1.0,0.722,0.722,0.722,0.722,0.861,0.722,0.764,0.458,0.806,0.653,0.639,0.764,0.597,0.847,0.722,0.681,0.681,1.0,0.847,0.736,0.5,0.542,0.542,0.417,0.5,0.5,0.333,0.375,0.375
25,0.764,0.764,0.792,0.792,0.917,0.917,0.722,0.722,0.833,0.833,0.653,0.653,0.944,0.944,0.667,0.667,0.722,0.722,0.958,0.958,0.764,0.764,0.722,0.722,1.0,0.0,0.722,0.722,0.722,0.722,0.861,0.722,0.764,0.458,0.806,0.653,0.639,0.764,0.597,0.847,0.722,0.681,0.681,1.0,0.847,0.736,0.5,0.542,0.542,0.417,0.5,0.5,0.333,0.375,0.375
26,0.875,0.875,0.764,0.764,0.639,0.639,0.639,0.639,0.667,0.667,0.681,0.681,0.667,0.667,0.694,0.694,0.639,0.639,0.681,0.681,0.681,0.681,0.639,0.639,0.722,0.722,0.0,1.0,1.0,1.0,0.75,1.0,0.875,0.736,0.917,0.764,0.75,0.875,0.708,0.792,1.0,0.625,0.764,0.722,0.792,0.458,0.417,0.653,0.653,0.528,0.778,0.778,0.611,0.486,0.486
27,0.875,0.875,0.764,0.764,0.639,0.639,0.639,0.639,0.667,0.667,0.681,0.681,0.667,0.667,0.694,0.694,0.639,0.639,0.681,0.681,0.681,0.681,0.639,0.639,0.722,0.722,1.0,0.0,1.0,1.0,0.75,1.0,0.875,0.736,0.917,0.764,0.75,0.875,0.708,0.792,1.0,0.625,0.764,0.722,0.792,0.458,0.417,0.653,0.653,0.528,0.778,0.778,0.611,0.486,0.486
28,0.875,0.875,0.764,0.764,0.639,0.639,0.639,0.639,0.667,0.667,0.681,0.681,0.667,0.667,0.694,0.694,0.639,0.639,0.681,0.681,0.681,0.681,0.639,0.639,0.722,0.722,1.0,1.0,0.0,1.0,0.75,1.0,0.875,0.736,0.917,0.764,0.75,0.875,0.708,0.792,1.0,0.625,0.764,0.722,0.792,0.458,0.417,0.653,0.653,0.528,0.778,0.778,0.611,0.486,0.486
29,0.875,0.875,0.764,0.764,0.639,0.639,0.639,0.639,0.667,0.667,0.681,0.681,0.667,0.667,0.694,0.694,0.639,0.639,0.681,0.681,0.681,0.681,0.639,0.639,0.722,0.722,1.0,1.0,1.0,0.0,0.75,1.0,0.875,0.736,0.917,0.764,0.75,0.875,0.708,0.792,1.0,0.625,0.764,0.722,0.792,0.458,0.417,0.653,0.653,0.528,0.778,0.778,0.611,0.486,0.486
30,0.625,0.625,0.819,0.819,0.778,0.778,0.583,0.583,0.806,0.806,0.625,0.625,0.917,0.917,0.639,0.639,0.583,0.583,0.819,0.819,0.625,0.625,0.583,0.583,0.861,0.861,0.75,0.75,0.75,0.75,0.0,0.75,0.625,0.486,0.667,0.514,0.5,0.625,0.458,0.708,0.75,0.542,0.708,0.861,0.708,0.597,0.361,0.403,0.403,0.444,0.528,0.528,0.361,0.347,0.347
31,0.875,0.875,0.764,0.764,0.639,0.639,0.639,0.639,0.667,0.667,0.681,0.681,0.667,0.667,0.694,0.694,0.639,0.639,0.681,0.681,0.681,0.681,0.639,0.639,0.722,0.722,1.0,1.0,1.0,1.0,0.75,0.0,0.875,0.736,0.917,0.764,0.75,0.875,0.708,0.792,1.0,0.625,0.764,0.722,0.792,0.458,0.417,0.653,0.653,0.528,0.778,0.778,0.611,0.486,0.486
32,1.0,1.0,0.639,0.639,0.764,0.764,0.764,0.764,0.708,0.708,0.722,0.722,0.708,0.708,0.819,0.819,0.764,0.764,0.806,0.806,0.722,0.722,0.681,0.681,0.764,0.764,0.875,0.875,0.875,0.875,0.625,0.875,0.0,0.611,0.958,0.889,0.792,1.0,0.833,0.917,0.875,0.75,0.639,0.764,0.833,0.583,0.542,0.778,0.778,0.403,0.653,0.653,0.486,0.611,0.611
